desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia,size,descripcion,superficie,colloc,precio_m2
,casa en venta en privada nuukan en cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,8735000.0,,,,3.0,,3.0,,,cholul,
,casa en venta en merida dzitya  privada monteverde tipo townhouse listo.,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,3350000.0,,,,4.0,,3.0,,,dzitya,
,casa en venta en privada en temozon norte3 habitaciones en meridayucatan.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4400000.0,,,,4.0,,3.0,,,,
,casa de una planta en venta en montecristo,metros_cubicos,montecristo,,,2024-03-16 21:06:01.279679,,,13400000.0,,,,3.0,,3.0,,,montecristo,
,casa de 6 habitaciones y piscina en el club de golf la ceiba merida,metros_cubicos,club de golf la ceiba,,,2024-03-16 21:06:01.279679,,,18000000.0,,,,8.0,,6.0,,,club de golf la ceiba,
,casa en merida centro,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3800000.0,,,,1.0,,1.0,,,,
,venta casa 3 ambientes las americas,metros_cubicos,las americas,,,2024-03-16 21:06:01.279679,,,2100000.0,,,,3.0,,3.0,,,las americas,
,venta residencia de una planta estilo californiano en m,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,34000000.0,,,,7.0,,3.0,,,,
,casa en venta merida dzitya casa adriana equipada entrega inmediata.,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,4900000.0,,,,4.0,,3.0,,,dzitya,
,casa en merida centro,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,21000000.0,,,,4.0,,4.0,,,merida centro,
,compra casa amueblada de lujo en el yucatan country club,metros_cubicos,yucatan,,,2024-03-16 21:06:01.279679,,,16750000.0,,,,4.0,,4.0,,,yucatan,
,estrena esta increible casa en oasis yucatan country club,metros_cubicos,yucatan,,,2024-03-16 21:06:01.279679,,,13650000.0,,,,4.0,,4.0,,,yucatan,
,hermosa casa en arborea rodeada de naturaleza,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5300000.0,,,,4.0,,4.0,,,,
,exclusiva casa en venta xpokin country club,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,16000000.0,,,,5.0,,5.0,,,yucatan country club,
,casa en venta en merida en el centro a 2 cuadras del parque de san juan lista.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5350000.0,,,,2.0,,2.0,,,,
,casa en pueblo dzitya,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,6750000.0,,,,5.0,,4.0,,,dzitya,
,casa merida en venta centro,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,13500000.0,,,,4.0,,3.0,,,,
,casa en venta en merida montecristo de 1 planta.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,13400000.0,,,,3.0,,3.0,,,,
,casa en venta en meridayucatan country club.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,16000000.0,,,,5.0,,3.0,,,,
,casa en venta en merida privada maruva luxury th mod. base  febrero 2023,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2820000.0,,,,2.0,,2.0,,,,
,casa en venta en merida privada astoria a 3 meses.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7300000.0,,,,4.0,,3.0,,,,
,casa en venta merida arezzo villas temozon norte verano 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4250000.0,,,,3.0,,3.0,,,,
,linda casa en privada en country club,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,12900000.0,,,,5.0,,5.0,,,yucatan country club,
,casa en venta en chuminopolis en meridayucatan,metros_cubicos,chuminopolis,,,2024-03-16 21:06:01.279679,,,8200000.0,,,,7.0,,4.0,,,chuminopolis,
,casa de lujo de 1 planta en venta en montecristo,metros_cubicos,montecristo,,,2024-03-16 21:06:01.279679,,,15000000.0,,,,5.0,,3.0,,,montecristo,
,casa en venta calle 97 manzana 115 merida,metros_cubicos,manzana 115,,,2024-03-16 21:06:01.279679,,,400000.0,,,,1.0,,2.0,,,manzana 115,
,centro increible propiedad en esquina fvc2141,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,10200000.0,,,,8.0,,7.0,,,merida centro,
,venta casa con alberca en san antonio hool centro me,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2950000.0,,,,3.0,,3.0,,,,
,merida montebello  casa en venta,metros_cubicos,montebello,,,2024-03-16 21:06:01.279679,,,8650000.0,,,,4.0,,4.0,,,montebello,
,venta de casa en zona norte con 2 recamaras estudiorecama,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1674000.0,,,,3.0,,2.0,,,,
,casa en temozon 4 recamaras alberca merida,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,6500000.0,,,,5.0,,4.0,,,temozon norte,
,casa en venta merida country club entrega inmediata.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,17000000.0,,,,5.0,,3.0,,,,
,casa de 1 planta en venta en privada la rejoyada en meridayucatan.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6000000.0,,,,4.0,,3.0,,,,
,casa en venta en privada nortemerida en komchen lote 164,metros_cubicos,komchen,,,2024-03-16 21:06:01.279679,,,10490000.0,,,,5.0,,3.0,,,komchen,
,venta de villa en country club,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,10000000.0,,,,3.0,,3.0,,,yucatan country club,
,centro corazon de la ermita  casa tucan  arc1019,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,3500000.0,,,,2.0,,2.0,,,merida centro,
,casa en venta frente al parque dentro del club de golf la ceiba,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,18000000.0,,,,5.0,,5.0,,,,
,casa en venta en soluna temozon norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,7650000.0,,,,5.0,,5.0,,,temozon norte,
,casa del centro de merida remodelada y amueblada en venta,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,20000000.0,,,,6.0,,5.0,,,merida centro,
,casa en venta en cholul al norte de merida,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2300000.0,,,,2.0,,3.0,,,cholul,
,venta de casa kutz 20 yucatan country club,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,16900000.0,,,,4.0,,4.0,,,yucatan country club,
,casa en venta residencial amidanahtemozon norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,5100000.0,,,,4.0,,3.0,,,temozon norte,
,casa en venta en merida privada yucatan country club xtakay listo,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,15500000.0,,,,3.0,,3.0,,,,
,casa ez en venta en col. mexico,metros_cubicos,mexico,,,2024-03-16 21:06:01.279679,,,11000000.0,,,,4.0,,3.0,,,mexico,
,residencia en venta en temozon norte con 3 recamarasalberca y wet bar en meridayucatan.,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,6499000.0,,,,4.0,,3.0,,,temozon norte,
,venta casa 3 ambientes merida centro,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,9650000.0,,,,3.0,,3.0,,,merida centro,
,casa en  dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6900000.0,,,,4.0,,4.0,,,,
,casa  en venta   varena  cholul  merida,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,5849000.0,,,,4.0,,4.0,,,cholul,
,venta casa en esquina colonia santiago centro yucatan,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,3000000.0,,,,3.0,,3.0,,,merida centro,
,casa en altozano,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3995000.0,,,,2.0,,3.0,,,,
,casa en venta temozon,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,21500000.0,,,,525.0,,3.0,,,temozon norte,
,casa en venta en santa gertrudis copo en meridayucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7200000.0,,,,4.0,,4.0,,,,
,casa nueva en oasis yucatan country club,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,13600000.0,,,,4.0,,4.0,,,,
,casa con patio y alberca privada dentro de residencial en,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5425000.0,,,,5.0,,3.0,,,,
,casa kutz equipada 4 habitaciones piscina en yucatan country club merida,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,16900000.0,,,,5.0,,4.0,,,yucatan country club,
,casa en venta merida centro barrio san sebastian modelo lazuli lista.,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,249900.0,,,,2.0,,2.0,,,merida centro,
,casa en venta en merida modelo ibiza plus entrega inmediata,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4599000.0,,,,4.0,,3.0,,,,
,casa en venta  merida montebello,metros_cubicos,montebello,,,2024-03-16 21:06:01.279679,,,4700000.0,,,,2.0,,3.0,,,montebello,
,casa en venta en poligono 108,metros_cubicos,poligono 108,,,2024-03-16 21:06:01.279679,,,2300000.0,,,,2.0,,3.0,,,poligono 108,
,casa amplia con piscina en privada villas del rey campestre merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,38000000.0,,,,5.0,,3.0,,,,
,casa en venta en el centro de merida,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,3800000.0,,,,2.0,,2.0,,,merida centro,
,casa en venta en el centro de meridayucatan,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,10000000.0,,,,1.0,,3.0,,,merida centro,
,casa en venta de una planta en merida conkal con alberca,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3750000.0,,,,4.0,,3.0,,,,
,casa en temozon norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6500000.0,,,,3.0,,3.0,,,,
,disfruta las amenidades casa en venta al norte de merida e,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4390000.0,,,,4.0,,4.0,,,,
,casa134 en venta en privada entre parques en tixcuytun,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4400000.0,,,,3.0,,3.0,,,,
,casa en venta en el centro de merida 3 rec calle 54,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,7500000.0,,,,1.0,,3.0,,,merida centro,
,casa en venta merida dzitya nuevos horizontes modelo c mayo 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6200000.0,,,,6.0,,4.0,,,,
,casa en venta en merida privada entre parques lote 118 abril 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4900000.0,,,,3.0,,3.0,,,,
,casa en venta en yucatan country club,metros_cubicos,yucatan,,,2024-03-16 21:06:01.279679,,,17276678.0,,,,3.0,,3.0,,,yucatan,
,casa en venta en merida cabo norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,18000000.0,,,,4.0,,6.0,,,temozon norte,
,casa en venta en merida en fraccionamiento con creditos infonavit  mod 65,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,940000.0,,,,1.0,,2.0,,,,
,casa en  country club,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,45000000.0,,,,6.0,,5.0,,,,
,casa en condominio en club de golf la ceiba,metros_cubicos,club de golf la ceiba,,,2024-03-16 21:06:01.279679,,,8900000.0,,,,4.0,,3.0,,,club de golf la ceiba,
,exclusiva casa en venta en merida en la ceiba club de golf,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,22000000.0,,,,3.0,,3.0,,,,
,espectacular casa en venta en merida en el country club de golf,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,13650000.0,,,,4.0,,4.0,,,,
,casa  yucatan country club,metros_cubicos,yucatan country club,,,2024-03-16 21:06:01.279679,,,17900000.0,,,,4.0,,4.0,,,yucatan country club,
,casa en club de golf la ceiba,metros_cubicos,club de golf la ceiba,,,2024-03-16 21:06:01.279679,,,10000000.0,,,,3.0,,4.0,,,club de golf la ceiba,
,preventa villa norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2899000.0,,,,1.0,,2.0,,,,
,casa en venta en kinish residencial en cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,5424000.0,,,,3.0,,3.0,,,cholul,
,casa en venta en merida carretera progreso .,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7690000.0,,,,4.0,,4.0,,,,
,casa t.a en venta en amanha residential resort en yucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,18824946.0,,,,3.0,,3.0,,,,
,casa nueva en venta temozon norte merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,14350000.0,,,,3.0,,3.0,,,,
,casa en venta en merida de 3 rec una en planta baja  en ent,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6980000.0,,,,4.0,,3.0,,,,
,casa en venta san ramon norte merida.,metros_cubicos,san ramon norte i,,,2024-03-16 21:06:01.279679,,,32000000.0,,,,7.0,,4.0,,,san ramon norte i,
,venta casa 2 ambientes cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,6845000.0,,,,3.0,,2.0,,,cholul,
,casa con alberca privada en residencial de lujo con campo d,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,21656670.0,,,,3.0,,3.0,,,,
,casa con alberca privada en campo de golf en residencial de,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,17902723.0,,,,3.0,,3.0,,,,
,casa en venta de 4 recamaras al norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4920000.0,,,,4.0,,4.0,,,,
,townhouse de dos recamaras en venta en norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2490000.0,,,,2.0,,2.0,,,,
,casa en venta merida temozon avea modelo a entrega inmediata.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3250000.0,,,,2.0,,2.0,,,,
,casa en venta en privada san ramon norte al norte de la ciud,metros_cubicos,san ramon norte i,,,2024-03-16 21:06:01.279679,,,32000000.0,,,,7.0,,4.0,,,san ramon norte i,
,casa en venta merida privada soluna fobos 04 septiembre 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7450000.0,,,,5.0,,4.0,,,,
,casa en venta en el centro de meridayucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5390000.0,,,,5.0,,4.0,,,,
,casa en venta en merida country club  privada tho agosto 2023,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,12800000.0,,,,4.0,,4.0,,,,
,casa en venta en merida av andres garcia lavin entrega inmediata.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,23000000.0,,,,5.0,,3.0,,,,
,casa en venta en merida privada gran san pedro cholul vitua mod. b feb 24.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3580000.0,,,,4.0,,3.0,,,,
,casa de lujo en venta en cholul al norte de merida,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,9500000.0,,,,3.0,,3.0,,,cholul,
,casa t.c en venta en amanha residential resort en yucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,17766481.0,,,,3.0,,3.0,,,,
,casa de 2 recamaras en privada con amenidades,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2520000.0,,,,2.0,,2.0,,,,
,casa en venta merida centro tipo colonial,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,6900000.0,,,,3.0,,3.0,,,merida centro,
,venta de casa en el centro en merida barrio de santiago,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,7400000.0,,,,3.0,,3.0,,,merida centro,
,casa en venta en merida country club  privada oasis lote  187 ago 2023,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,16400000.0,,,,4.0,,4.0,,,,
,hermosa residencia en sitpach yucatan,metros_cubicos,sitpach,,,2024-03-16 21:06:01.279679,,,27480000.0,,,,6.0,,6.0,,,sitpach,
,vende casa en arena mia ii chicxulub puerto merida yuc.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6300000.0,,,,5.0,,3.0,,,,
,casa venta norte de la ciudad de merida con alberca 4 habitaciones.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,10000000.0,,,,477.0,,4.0,,,,
,casa en venta de 4 habitaciones en xcumpich merida yuc,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,14215000.0,,,,5.0,,4.0,,,,
,casa en privada en temozon norte mykonos al norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4000000.0,,,,3.0,,3.0,,,,
,casa en condominio en venta dentro de  club de golf la ceiba,metros_cubicos,club de golf la ceiba,,,2024-03-16 21:06:01.279679,,,14190000.0,,,,4.0,,4.0,,,club de golf la ceiba,
,casa en venta dentro del clb de golf la ceiba con vista al campo,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,13000000.0,,,,3.0,,3.0,,,,
,venta de villa en harmonia con vista al agua y amplio jardin.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,9650000.0,,,,3.0,,3.0,,,,
,casa de 1 planta en venta en san ramon en meridayucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,14500000.0,,,,3.0,,3.0,,,,
,casa en preventa en residencial en tixcacal merida yuc,metros_cubicos,tixcacal opichen,,,2024-03-16 21:06:01.279679,,,2514750.0,,,,3.0,,3.0,,,tixcacal opichen,
,casa en venta  merida  xcanatun,metros_cubicos,xcanatun,,,2024-03-16 21:06:01.279679,,,5200000.0,,,,4.0,,4.0,,,xcanatun,
,hermosa casa una planta merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7490000.0,,,,4.0,,3.0,,,,
,casa en ventaprivada soluna,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,19500000.0,,,,5.0,,4.0,,,,
,casa en venta en merida privada laja xcanatun,metros_cubicos,xcanatun,,,2024-03-16 21:06:01.279679,,,4550500.0,,,,3.0,,3.0,,,xcanatun,
,casa en venta en merida privada cumbres novonorte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2895000.0,,,,2.0,,3.0,,,,
,villa en venta norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2499000.0,,,,1.0,,1.0,,,,
,casa en venta temozon norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,21500000.0,,,,3.0,,3.0,,,temozon norte,
,estrena esta espectacular casa en oasis yucatan country club,metros_cubicos,yucatan,,,2024-03-16 21:06:01.279679,,,13650000.0,,,,4.0,,4.0,,,yucatan,
,casa en venta al norte de meridaresidencial nortemerida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,9900000.0,,,,5.0,,4.0,,,,
,hermosa residencia en venta en privada parque natura.,metros_cubicos,parque natura,,,2024-03-16 21:06:01.279679,,,7850000.0,,,,5.0,,4.0,,,parque natura,
,casa en venta al norte de merida privada campocielo,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2760000.0,,,,2.0,,2.0,,,,
,palta 152 residencial exclusivas casas y lofts al norte de merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3545000.0,,,,5.0,,4.0,,,,
,casa equipada 4 habitaciones piscina en privada soluna temozon norte merida,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,19500000.0,,,,5.0,,4.0,,,temozon norte,
,casa en venta en merida genova junio 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6000000.0,,,,3.0,,3.0,,,,
,casa en venta merida cumbre de dzitya ii modelo c octubre 2023,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6300000.0,,,,6.0,,4.0,,,,
,casa en venta merida privada nortemerida sep 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7850000.0,,,,5.0,,4.0,,,,
,casa en venta en merida privada yucatan country club xpokin lista.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,18500000.0,,,,4.0,,3.0,,,,
,casa en venta merida privada jardines de la rejoyada mayo 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7100000.0,,,,3.0,,3.0,,,,
,casa en venta en merida cumbres 2 de dzitya modelo a octubre 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5200000.0,,,,5.0,,3.0,,,,
,casa en venta en merida temozon norte privada amidanah mod. e octubre 23,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5658000.0,,,,3.0,,3.0,,,,
,casas en preventa en merida residencial chacte.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6415000.0,,,,4.0,,3.0,,,,
,casa en venta en privada aire puro mod. alora a en tamanche,metros_cubicos,tamanche,,,2024-03-16 21:06:01.279679,,,4800000.0,,,,4.0,,3.0,,,tamanche,
,casa en venta santa gertrudis copo merida.,metros_cubicos,santa gertrudis copo,,,2024-03-16 21:06:01.279679,,,5850000.0,,,,4.0,,4.0,,,santa gertrudis copo,
,casa en venta en lomas dzitya dzitya,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,5000000.0,,,,3.0,,3.0,,,dzitya,
,casa en venta en  merida privada kinish,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4300000.0,,,,3.0,,3.0,,,,
,casona en venta en villas del sol,metros_cubicos,villas del sol,,,2024-03-16 21:06:01.279679,,,11000000.0,,,,5.0,,6.0,,,villas del sol,
,estrena maravillosa casa en yucatan country club,metros_cubicos,yucatan,,,2024-03-16 21:06:01.279679,,,12990000.0,,,,4.0,,4.0,,,yucatan,
,casa con alberca en venta dentro de privada xcanatun zona no,metros_cubicos,xcanatun,,,2024-03-16 21:06:01.279679,,,16050000.0,,,,4.0,,4.0,,,xcanatun,
,casa en venta en la ceiba,metros_cubicos,la ceiba,,,2024-03-16 21:06:01.279679,,,13500000.0,,,,5.0,,3.0,,,la ceiba,
,venta de casa en villas la hacienda en esquina completamente equipada,metros_cubicos,villas la hacienda,,,2024-03-16 21:06:01.279679,,,5300000.0,,,,6.0,,6.0,,,villas la hacienda,
,hermosa casa restaurada en el centro,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,12500000.0,,,,3.0,,4.0,,,merida centro,
,venta de casa con 2 recamaras y patio amplio en solana,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,1350000.0,,,,1.0,,2.0,,,,
,casa en condominio en venta en club de golf la ceiba,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,8800000.0,,,,2.0,,3.0,,,,
,casa de 3 habitaciones en leandro valle merida,metros_cubicos,leandro valle,,,2024-03-16 21:06:01.279679,,,3200000.0,,,,2.0,,200.0,,,leandro valle,
,casa en el fraccionamiento pensiones merida,metros_cubicos,pensiones,,,2024-03-16 21:06:01.279679,,,2300000.0,,,,3.0,,4.0,,,pensiones,
,preciosa residencia en club de golf la ceiba,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,15600000.0,,,,4.0,,4.0,,,,
,casa en merida centro,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5500000.0,,,,4.0,,5.0,,,,
,casa en venta en merida en dzitya de 3 recamaras,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,2850000.0,,,,3.0,,3.0,,,dzitya,
,venta de hermosa casa en condominio club de golf la ceiba,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,13990000.0,,,,4.0,,4.0,,,,
,casa en preventa en residencial en tixcacal merida yuc,metros_cubicos,tixcacal opichen,,,2024-03-16 21:06:01.279679,,,1757700.0,,,,3.0,,3.0,,,tixcacal opichen,
,villas en venta en lum terra cholul yucatan,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,3095000.0,,,,3.0,,3.0,,,cholul,
,casa en venta en merida en privada mirador komchen,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,7730000.0,,,,4.0,,4.0,,,,
,casa en venta en cholul en meridayucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2869000.0,,,,3.0,,3.0,,,,
,casa en preventa en merida zona norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3365000.0,,,,3.0,,3.0,,,,
,casa en venta dentro privada en cholul de una planta,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,3575000.0,,,,3.0,,3.0,,,cholul,
,casa nueva completamente amueblada y equipada en el country,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,13900000.0,,,,4.0,,4.0,,,,
,exclusiva casa en venta oasis country club merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,17500000.0,,,,6.0,,4.0,,,,
,exclusivas casas en venta en residencial capri cholul merida.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3609000.0,,,,3.0,,3.0,,,,
,atencion inversionistas propiedad sobre calle 60 en el centro de merida,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,6800000.0,,,,4.0,,7.0,,,merida centro,
,fiora residencial exclusivas casas en cholul merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3950000.0,,,,4.0,,3.0,,,,
,amidanah residencias de lujo en temozon norte,metros_cubicos,temozon norte,,,2024-03-16 21:06:01.279679,,,5100000.0,,,,4.0,,3.0,,,temozon norte,
,casa con alberca privada 509m2 en residencial de lujo con c,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,15360534.0,,,,2.0,,2.0,,,,
,residencia con alberca privada en campo de golf con casa cl,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,16609952.0,,,,3.0,,3.0,,,,
,casa con alberca privada en residencial con campo de golf y,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,17193011.0,,,,2.0,,2.0,,,,
,residencia de 3 habitaciones y un estudio con piscina en privada,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5300000.0,,,,5.0,,4.0,,,,
,casa remodelada 3 habitaciones y piscina en colonia centro merida,metros_cubicos,merida centro,,,2024-03-16 21:06:01.279679,,,8100000.0,,,,3.0,,3.0,,,merida centro,
,casa en venta en la ermita en el centro en merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,8100000.0,,,,3.0,,3.0,,,,
,casa de 1 planta en venta en meridayucatan,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,15000000.0,,,,3.0,,3.0,,,,
,casa en venta merida grand real dzitya 1 planta nov 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4150000.0,,,,4.0,,3.0,,,,
,casa en venta en merida cholul en villas pakal entrega inmediata.,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,13500000.0,,,,3.0,,3.0,,,cholul,
,casa en venta en merida country club entrega inmediata.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,17500000.0,,,,4.0,,4.0,,,,
,casa en venta merida privada tamara lote 321 zona country septiembre 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,14800000.0,,,,6.0,,5.0,,,,
,casa en venta en merida itzimna de 1 planta para entrega inmediata.,metros_cubicos,itzimna,,,2024-03-16 21:06:01.279679,,,12500000.0,,,,4.0,,4.0,,,itzimna,
,casa en venta merida dzitya 77 townhouse diciembre 2023.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2900000.0,,,,3.0,,3.0,,,,
,casa en venta en merida privada maruva cholul,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2290000.0,,,,2.0,,2.0,,,cholul,
,casa en venta en entre parques en tixcuytun,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6950000.0,,,,3.0,,3.0,,,,
,casa en venta al norte de merida en privada.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5990000.0,,,,3.0,,3.0,,,,
,venta casa dentro del yucatan country club,metros_cubicos,yucatan,,,2024-03-16 21:06:01.279679,,,14000000.0,,,,4.0,,3.0,,,yucatan,
,casa en venta cuenta con 2 recamaras patio y cochera techa,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2268000.0,,,,3.0,,2.0,,,,
