desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,superficie,colonia,descripcion,mts_const,mts,colloc,precio_m2
,terrenos en venta ubicados en blanca residencial,easybroker,,,,2024-03-20 06:52:16.743741,21.0232361,-89.6075053,782723.76,,benito juarez norte,,,,benito juarez norte,
,lotes residenciales en venta a 10 minutos del periferico norte de merida,easybroker,,,,2024-03-20 06:52:16.743741,21.0370825606,-89.5296478271,1213710.0,,sitpach,,,,sitpach,
,lotes residenciales serena en venta,easybroker,,,,2024-03-20 06:52:16.743741,21.0203386453,-89.6727275385,925000.0,,san juan bautista,,,,san juan bautista,
,terrenos en venta ubicados en dzitya,easybroker,dzitya,,,2024-03-20 06:52:16.743741,21.0483333,-89.6780555,690000.0,,dzitya,,,,dzitya,
,tanah residencial en venta al norte de merida,easybroker,,,,2024-03-20 06:52:16.743741,21.0483333,-89.6780555,895554.0,,dzitya,,,,dzitya,
,terrenos en venta ubicados en dzitya,easybroker,dzitya,,,2024-03-20 06:52:16.743741,21.0483333,-89.6780555,1033060.0,,dzitya,,,,dzitya,
,lotes residenciales en privada cerca de carretera progreso,easybroker,,,,2024-03-20 06:52:16.743741,21.0550911845,-89.6481317289,1113000.0,,dzitya,,,,dzitya,
,terreno en venta de oportunidad en paraiso progreso yucatan cerca del autodromo,easybroker,yucatan,,,2024-03-20 06:52:16.743741,21.1875388715,-89.636735038,420000.0,,,,,,yucatan,
,se venden lotes de 2000 m2 en chablekal al norte de merida,easybroker,chablekal,,,2024-03-20 06:52:16.743741,21.1057209338,-89.5723485103,1278000.0,,chablekal,,,,chablekal,
,terreno de 6000 m2 en venta a unos metros de periferico los heroes san angel,easybroker,los heroes,,,2024-03-20 06:52:16.743741,20.9859636658,-89.5583993261,9000000.0,,chichi suarez,,,,los heroes,
,lotes en preventa en privada soluna temozon norte,easybroker,temozon norte,,,2024-03-20 06:52:16.743741,21.0634817,-89.6110378,1837307.01,,temozon norte,,,,temozon norte,
