desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia
,gran santa fe privada,easybroker,gran santa fe,,,2024-02-21 13:04:12.121546,21.0077498,-89.6857343,3600000.0,300.0,"Casa en Gran Santa Fe, Mérida",3.0,4.0,gran santa fe
,casa en temozon en venta modelo a,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,3250000.0,164.0,"Casa en Temozon Norte, Mérida",2.0,2.0,x canatun
,casa en norte de merida zona country,easybroker,,,,2024-02-21 13:04:12.121546,,,11600000.0,400.0,"Casa en Chablekal, Mérida",5.0,4.0,
,casas en venta en privada residencial en dzitya yucatan,easybroker,yucatan,,,2024-02-21 13:04:12.121546,21.0504603174,-89.6704101563,4440000.0,208.0,"Casa en Dzityá, Mérida",5.0,4.0,dzitya
,casa en venta en merida en la colonia miguel aleman,easybroker,miguel aleman,,,2024-02-21 13:04:12.121546,20.9971389,-89.5998505,6100000.0,608.0,"Casa en Felipe Carrillo Puerto, Mérida",3.0,3.0,diaz ordaz
,casa mia,easybroker,,,,2024-02-21 13:04:12.121546,21.0307114,-89.6181018,10500000.0,275.0,"Casa en Montes de Ame, Mérida",3.0,3.0,benito juarez norte
,casa en venta morera cholul  entrega julio 24,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,3495000.0,164.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en merida san ignacio en venta,easybroker,,,,2024-02-21 13:04:12.121546,21.1391666,-89.6416666,4400000.0,320.0,"Casa en Tamanché, Mérida",3.0,3.0,
,casa en cholul en venta abril 2024,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0424858,-89.5568382,4380000.0,251.35,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en el centro para remodelar,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,1800000.0,185.0,"Casa en Mérida Centro, Mérida",,2.0,centro
,casa en el centro de merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,3200000.0,467.0,"Casa en Mérida Centro, Mérida",9.0,9.0,centro
,casa en venta margaritas 190 cholul c  entrega inmediata,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0424858,-89.5568382,5116000.0,317.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,bella casa en la colonia nuevo yucatan al norte de la ciudad.,easybroker,nuevo yucatan,,,2024-02-21 13:04:12.121546,20.9993364,-89.5839473,5200000.0,,"Casa en Nuevo Yucatán, Mérida",3.0,3.0,nuevo yucatan
,venta hermosa casa en col. diaz ordaz  2900000,easybroker,diaz ordaz,,,2024-02-21 13:04:12.121546,36.5169834,-6.0560051,2900000.0,350.0,"Casa en Diaz Ordaz, Mérida",2.0,4.0,
,hermosas casas residenciales en privada oku temozon  norte,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4100000.0,230.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,venta casa en merida privada en san ramon norte 3 rec.  sn. ramon nte. yuc.,easybroker,san ramon norte,,,2024-02-21 13:04:12.121546,21.0232361,-89.6075053,4990000.0,195.97,"Casa en San Ramon Norte, Mérida",3.0,3.0,benito juarez norte
,casa en venta en el centro de merida santa ana,easybroker,,,,2024-02-21 13:04:12.121546,20.9636079,-89.6241371,9000000.0,115.0,"Casa en Mérida Centro, Mérida",,2.0,centro
,yucalpeten merida casa de dos plantas  fvc1316,easybroker,yucalpeten,,,2024-02-21 13:04:12.121546,20.9771516,-89.6604593,2500000.0,215.08,"Casa en Yucalpeten, Mérida",2.0,3.0,yucalpeten
,townhouse en privada exclusiva con alberca,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,2999000.0,140.0,"Casa en Temozon Norte, Mérida",2.0,2.0,x canatun
,casa en venta en la rejoyada,easybroker,la rejoyada,,,2024-02-21 13:04:12.121546,21.1030877,-89.6613591,5850000.0,353.3,"Casa en Komchen, Mérida",4.0,4.0,komchen
,casa en venta de 2 recamaras con alberca en el fracc. las americas merida,easybroker,las americas,,,2024-02-21 13:04:12.121546,21.0678183,-89.6468438,1900000.0,107.09,"Casa en Las Américas, Mérida",,2.0,las americas
,casas nuevas con piscina en privada entrega inmediata,easybroker,,,,2024-02-21 13:04:12.121546,20.996315,-89.5674483,2950000.0,146.0,"Casa en Leandro Valle, Mérida",3.0,3.0,leandro valle
,casa equipada tour 360  hab en p.b  equipada,easybroker,,,,2024-02-21 13:04:12.121546,21.0053951,-89.6263416,3200000.0,168.0,"Casa en Chuburna de Hidalgo, Mérida",2.0,3.0,chuburna de hidalgo
,casa en venta las americas iii merida,easybroker,las americas,,,2024-02-21 13:04:12.121546,21.0678183,-89.6468438,2850000.0,197.65,"Casa en Las Américas, Mérida",3.0,3.0,las americas
,vive en cholul al norte de merida y disfruta de tu nueva y muy amplia casa.,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,4000000.0,190.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en venta en privada varena. cholul yucatan.,easybroker,yucatan,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,6025000.0,303.2,"Casa en Cholul, Mérida",5.0,4.0,cholul
,casa en privada cerca de altabrisa modelo vela de 3 recamaras con paneles,easybroker,altabrisa,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,3795000.0,184.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,adelante tu nuevo hogar en temozon norte la mejor zona de merida.,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4299000.0,234.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,amplia y moderna residencia en oasis yucatan country club,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,17500000.0,493.5,"Casa en Yucatán Country Club, Mérida",6.0,4.0,
,casa en altabrisa en venta,easybroker,altabrisa,,,2024-02-21 13:04:12.121546,20.941404,-89.6034512,3650000.0,154.0,"Casa en Altabrisa, Mérida",3.0,2.0,morelos
,casa en venta en privada via nova. merida,easybroker,,,,2024-02-21 13:04:12.121546,21.0799734,-89.6569312,3458000.0,229.08,"Casa en Las Américas II, Mérida",4.0,3.0,las americas ii
,alana townhouses con rooftop  en santa rita cholul merida,easybroker,santa rita cholul,,,2024-02-21 13:04:12.121546,,,3050000.0,163.42,"Casa en Santa Rita Cholul, Mérida",2.0,2.0,
,casa en venta en dzitya,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,4900000.0,277.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casa venta en residencial soluna temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.0745692861,-89.5885035361,7300000.0,338.0,"Casa en Temozon Norte, Mérida",3.0,3.0,
,villa kaliza,easybroker,,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3150000.0,193.0,"Casa en Dzityá, Mérida",3.0,4.0,dzitya
,casa en el centro,easybroker,,,,2024-02-21 13:04:12.121546,20.9618570332,-89.6317788723,1650000.0,274.0,"Casa en Mérida Centro, Mérida",,2.0,san juan
,hermosa casa en pinos del norte,easybroker,del norte,,,2024-02-21 13:04:12.121546,21.0050752087,-89.5645809186,2550000.0,139.0,"Casa en Pinos Norte II, Mérida",3.0,2.0,los pinos
,venta casa 3 recamaras en privada en cholul al norte de merida,easybroker,cholul,,,2024-02-21 13:04:12.121546,,,4500000.0,358.0,"Casa en Cholul, Mérida",3.0,3.0,
,casa vitua,easybroker,,,,2024-02-21 13:04:12.121546,21.0246026,-89.5568382,3290000.0,149.0,"Casa en Gran San Pedro Cholul, Mérida",3.0,3.0,cholul
,casa nearoma,easybroker,roma,,,2024-02-21 13:04:12.121546,21.0815495,-89.6327297,7560000.0,248.0,"Casa en Xcanatún, Mérida",3.0,2.0,x canatun
,una joya casa arquitectura francesa de 1815,easybroker,,,,2024-02-21 13:04:12.121546,20.9704925,-89.6199457,8956657.5,559.0,"Casa en Mérida Centro, Mérida",4.0,3.0,centro
,vendo casa remodelada camara de la construccion zona norte,easybroker,camara de la construccion,,,2024-02-21 13:04:12.121546,,,1415000.0,,"Casa en Camara de La Construcción, Mérida",,2.0,
,casa frondeza 06,easybroker,,,,2024-02-21 13:04:12.121546,21.0558725,-89.5915071,16530.0,385.32,"Casa en Cabo Norte, Mérida",5.0,3.0,temozon norte
,estrena casa en la floresta zona residencial al norte de merida,easybroker,,,,2024-02-21 13:04:12.121546,21.0134883197,-89.5550096986,3550000.0,226.26,"Casa en Floresta, Mérida",2.0,3.0,cholul
,casa en venta en santa maria yaxche,easybroker,santa maria yaxche,,,2024-02-21 13:04:12.121546,,,5425000.0,246.0,"Casa en Santa María Yaxché, Mérida",4.0,3.0,
,casa en el centro de merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,5350000.0,220.0,"Casa en Mérida Centro, Mérida",2.0,3.0,centro
,estrena casa dzitya,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,6200000.0,257.0,"Casa en Dzityá, Mérida",5.0,4.0,dzitya
,centro casa en preventa merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9949381,-89.5789172,6100000.0,147.0,"Casa en Centro Sct Yucatán, Mérida",2.0,2.0,brisas del norte
,en venta residencia de autentico y original diseno en xcanatun,easybroker,xcanatun,,,2024-02-21 13:04:12.121546,21.0825780455,-89.6450043495,7560000.0,248.0,"Casa en Xcanatún, Mérida",3.0,2.0,las americas ii
,casa elite en cabo norte,easybroker,cabo norte,,,2024-02-21 13:04:12.121546,21.0558725,-89.5915071,2411400.0,40.19,"Casa en Cabo Norte, Mérida",,,temozon norte
,casa en venta oasis 121 country club merida,easybroker,,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,14950000.0,416.25,"Casa en Yucatán Country Club, Mérida",4.0,3.0,
,casa cuatas,easybroker,,,,2024-02-21 13:04:12.121546,20.9636079,-89.6241371,7700000.0,140.0,"Casa en Mérida Centro, Mérida",2.0,2.0,centro
,casa kookay,easybroker,,,,2024-02-21 13:04:12.121546,20.9681469,-89.6298724,11000000.0,205.0,"Casa en Mérida Centro, Mérida",3.0,3.0,centro
,venta de casa en pinos merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9900105488,-89.5841932297,2400000.0,216.0,"Casa en Los Pinos, Mérida",,,las brisas
,en venta casa oasis 120 country club merida,easybroker,,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,14950000.0,417.0,"Casa en Yucatán Country Club, Mérida",4.0,3.0,
,magnifica casa para remodelar en el centro de merida cerca del ado,easybroker,,,,2024-02-21 13:04:12.121546,20.9624014174,-89.630541821,5900000.0,183.7,"Casa en Mérida Centro, Mérida",,3.0,san juan
,casa en altabrisa en venta,easybroker,altabrisa,,,2024-02-21 13:04:12.121546,20.941404,-89.6034512,4100000.0,207.0,"Casa en Altabrisa, Mérida",3.0,3.0,morelos
,casa en venta inara cholul  entrega marzo 24,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,3575000.0,165.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,excelente casa en venta ubicada en loma bonita.,easybroker,loma bonita,,,2024-02-21 13:04:12.121546,21.0255175,-89.628107,6100000.0,356.0,"Casa en Loma Bonita, Mérida",3.0,3.0,loma bonita
,en venta casa mira en soluna residencial,easybroker,,,,2024-02-21 13:04:12.121546,21.0748095552,-89.5859528222,6700000.0,310.0,"Casa en Temozon Norte, Mérida",3.0,3.0,
,casas residenciales ubicadas en san antonio hool,easybroker,san antonio hool,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,5200000.0,280.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,residencia de lujo en yucatan country club,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,17500000.0,493.0,"Casa en Yucatán Country Club, Mérida",5.0,5.0,
,se vende espectacular casa en dzitya,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3285000.0,198.0,"Casa en Dzityá, Mérida",2.0,3.0,dzitya
,casa de una planta en dzitya,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,5800000.0,300.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casa en venta merida el cortijo con amenidades junto yucatan country club,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1137280136,-89.6047925806,10490000.0,326.0,"Casa en Chablekal, Mérida",3.0,3.0,
,altozano residencia en venta  en el norte de merida,easybroker,,,,2024-02-21 13:04:12.121546,21.1547575137,-89.6479654312,5500000.0,237.0,"Casa en Tamanché, Mérida",4.0,4.0,
,casa en venta en montebello,easybroker,montebello,,,2024-02-21 13:04:12.121546,21.0306572,-89.5945502,8300000.0,382.51,"Casa en Montebello, Mérida",4.0,3.0,montebello
,townhous en venta en merida dzitya.,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,2790000.0,175.0,"Casa en Dzityá, Mérida",2.0,2.0,dzitya
,casa en venta en merida residencial kinish.,easybroker,,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,4850000.0,249.24,"Casa en Cholul, Mérida",3.0,3.0,cholul
,hermosa casa en venta en benito juarez norte.,easybroker,,,,2024-02-21 13:04:12.121546,21.0232521,-89.61457,9500000.0,600.0,"Casa en Benito Juárez Nte, Mérida",8.0,8.0,benito juarez norte
,casa tiki tiki,easybroker,,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,5750000.0,280.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en venta francisco de montejo merida,easybroker,francisco de montejo,,,2024-02-21 13:04:12.121546,21.0230308011,-89.6477929512,1430000.0,66.33,"Casa en Francisco de Montejo, Mérida",,2.0,francisco de montejo
,casa en centro  azul la ermita,easybroker,,,,2024-02-21 13:04:12.121546,20.9576825106,-89.6277630329,8100000.0,288.0,"Casa en Mérida Centro, Mérida",3.0,3.0,centro
,exclusiva casa de una planta a la venta en dzitya.,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3995000.0,260.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,casa en venta en san diego cutz de 4 recamaras con alberca,easybroker,,,,2024-02-21 13:04:12.121546,21.0959196,-89.5444988,4295000.0,244.0,"Casa en Mérida, Mérida",5.0,4.0,
,fabulosa residencia en yucatan country club,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,14950000.0,416.25,"Casa en Yucatán Country Club, Mérida",4.0,3.0,
,bella casa a la venta en montes de ame.,easybroker,montes de ame,,,2024-02-21 13:04:12.121546,21.0307114,-89.6181018,6280000.0,256.0,"Casa en Montes de Ame, Mérida",5.0,3.0,benito juarez norte
,vitua residencial,easybroker,,,,2024-02-21 13:04:12.121546,21.0254661684,-89.5396058133,2990000.0,149.0,"Casa en Gran San Pedro Cholul, Mérida",3.0,3.0,sitpach
,venta casa colonial en esquina del barrio de la ermita en el centro de merida,easybroker,,,,2024-02-21 13:04:12.121546,20.9532239588,-89.6334173124,7500000.0,96.28,"Casa en Mérida Centro, Mérida",,3.0,centro
,venta casa de 1 piso en cholul. 3 habitaciones con piscina,easybroker,cholul,,,2024-02-21 13:04:12.121546,,,4850000.0,165.0,"Casa en Cholul, Mérida",3.0,3.0,
,casa en venta en ciudad caucel,easybroker,ciudad caucel,,,2024-02-21 13:04:12.121546,20.9921202,-89.6957222,1180000.0,190.0,"Casa en Ciudad Caucel, Mérida",,2.0,ciudad caucel
,casa en venta en soluna fobos lt04,easybroker,,,,2024-02-21 13:04:12.121546,20.9673702,-89.5925857,6600000.0,333.0,"Casa en Mérida, Mérida",,,lazaro cardenas
,casa en merida temozon en venta febrero 2024,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,5760000.0,265.93,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,casa en centro  verde,easybroker,,,,2024-02-21 13:04:12.121546,20.9587445281,-89.6274733543,7500000.0,248.0,"Casa en Mérida Centro, Mérida",3.0,3.0,centro
,casa en real montejo modelo alzareagosto 2024,easybroker,real montejo,,,2024-02-21 13:04:12.121546,21.0382682,-89.6686901,3225000.0,274.91,"Casa en Real Montejo, Mérida",3.0,3.0,dzitya
,casa en real montejo,easybroker,real montejo,,,2024-02-21 13:04:12.121546,21.0382682,-89.6686901,2992000.0,173.0,"Casa en Real Montejo, Mérida",3.0,3.0,dzitya
,casa en venta en avenida del rogers ideal para negocio o desarrollo,easybroker,,,,2024-02-21 13:04:12.121546,21.0113353,-89.6169246,15500000.0,510.0,"Casa en Campestre, Mérida",5.0,5.0,campestre
,casa en emiliano zapata sur,easybroker,emiliano zapata sur,,,2024-02-21 13:04:12.121546,20.9145939,-89.6518833,1500000.0,160.0,"Casa en Emiliano Zapata Sur, Mérida",3.0,3.0,emiliano zapata sur 1
,casa seminueva en caucel,easybroker,caucel,,,2024-02-21 13:04:12.121546,21.0199380501,-89.6572351456,1400000.0,,"Casa en Caucel, Mérida",,2.0,magnolias
,hermosa residencia privasa oasis ycc,easybroker,,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,14950000.0,417.0,"Casa en Yucatán Country Club, Mérida",4.0,3.0,
,se vende hermosa casa en dzitya,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3370000.0,198.0,"Casa en Dzityá, Mérida",2.0,3.0,dzitya
,hermosa casa equipada chuburna de hidalgo,easybroker,chuburna de hidalgo,,,2024-02-21 13:04:12.121546,21.0059165411,-89.6259498596,4250000.0,175.0,"Casa en Chuburna de Hidalgo, Mérida",3.0,3.0,chuburna de hidalgo
,casa en algarrobos,easybroker,,,,2024-02-21 13:04:12.121546,20.9673702,-89.5925857,6800000.0,284.0,"Casa en Algarrobos Desarrollo Residencial, Mérida",5.0,4.0,lazaro cardenas
,casa de lujo. yucatan country club oasis,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,17500000.0,493.0,"Casa en Yucatán Country Club, Mérida",4.0,4.0,
,excelente casa en venta en vergel ii al oriente de merida,easybroker,vergel ii,,,2024-02-21 13:04:12.121546,20.9516494,-89.5839473,1670000.0,160.0,"Casa en Vergel II, Mérida",2.0,3.0,vergel ii
,ultima residenciaz chichi suarez merida yucnovenna residencial,easybroker,chichi suarez,,,2024-02-21 13:04:12.121546,21.0007586,-89.5568382,2800000.0,153.34,"Casa en Chichi Suárez, Mérida",3.0,3.0,chichi suarez
,town house en telchac,easybroker,,,,2024-02-21 13:04:12.121546,21.3419002,-89.2636045,4390000.0,175.04,"Casa en Telchac Puerto, Mérida",3.0,3.0,telchac puerto
,venta residencia en yucatan country club con paneles solares,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,17500000.0,493.5,"Casa en Yucatán Country Club, Mérida",5.0,4.0,
,townhose en venta cholulmeridayucatan,easybroker,yucatan,,,2024-02-21 13:04:12.121546,21.0424858,-89.5568382,2290000.0,106.0,"Casa en Cholul, Mérida",2.0,2.0,cholul
,exclusiva casa contemporanea en esquina,easybroker,,,,2024-02-21 13:04:12.121546,21.1115661446,-89.6004581403,18000000.0,420.0,"Casa en Chablekal, Mérida",5.0,4.0,
,venta casa equipada y con 3 recamaras  americas 3 merida norte,easybroker,,,,2024-02-21 13:04:12.121546,21.0799734,-89.6569312,2750000.0,196.0,"Casa en Las Américas II, Mérida",2.0,3.0,las americas ii
,casas en venta en privada zante leandro valle merida yuc.,easybroker,leandro valle,,,2024-02-21 13:04:12.121546,20.996315,-89.5674483,2950000.0,146.0,"Casa en Leandro Valle, Mérida",2.0,3.0,leandro valle
,impresionante casa en merida,easybroker,,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,17000000.0,485.0,"Casa en Yucatán Country Club, Mérida",3.0,3.0,
,casa en venta en dzitya merida en privada,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3650000.0,150.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casa en cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,4700000.0,239.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,hermosa casa en venta en poligono 108 orientenorte de merida,easybroker,poligono 108,,,2024-02-21 13:04:12.121546,20.9965252,-89.5770245,2300000.0,148.0,"Casa en Polígono 108, Mérida",2.0,3.0,los pinos
,casa en venta en leandro valle con recamara en planta baja y piscina,easybroker,leandro valle,,,2024-02-21 13:04:12.121546,20.9959003708,-89.5641108987,3000000.0,189.07,"Casa en Leandro Valle, Mérida",4.0,3.0,leandro valle
,residencia en montebello,easybroker,montebello,,,2024-02-21 13:04:12.121546,21.0306572,-89.5945502,6950000.0,245.0,"Casa en Montebello, Mérida",4.0,3.0,montebello
,casa en venta en cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,4359600.0,207.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en los heroes,easybroker,los heroes,,,2024-02-21 13:04:12.121546,20.9891255,-89.538319,1250000.0,65.03,"Casa en Los Héroes, Mérida",,2.0,los heroes
,se vende casa en excelente zona de chuburna.,easybroker,,,,2024-02-21 13:04:12.121546,21.0235934412,-89.6376013756,4250000.0,315.0,"Casa en Chuburna de Hidalgo, Mérida",3.0,3.0,chuburna
,casa neek,easybroker,,,,2024-02-21 13:04:12.121546,20.9570012124,-89.6265989542,6900000.0,125.0,"Casa en Mérida Centro, Mérida",3.0,3.0,centro
,venta de casa con piscina amplios espacios al norte de merida,easybroker,,,,2024-02-21 13:04:12.121546,21.0236635437,-89.6198977569,7950000.0,511.2,"Casa en Benito Juárez Nte, Mérida",3.0,3.0,benito juarez norte
,fabulosa casa en los heroes,easybroker,los heroes,,,2024-02-21 13:04:12.121546,20.9835183599,-89.5422299227,2050000.0,,"Casa en Los Héroes, Mérida",2.0,3.0,los heroes
,3 disponibles  proyecto exclusivo que redefine el concepto de hogar,easybroker,,,,2024-02-21 13:04:12.121546,21.0541249722,-89.6502614149,3650000.0,176.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casa en venta en exclusiva privada,easybroker,,,,2024-02-21 13:04:12.121546,21.1172375,-89.6353357,14500000.0,406.0,"Casa en Santa María Yaxché, Mérida",4.0,4.0,
,casa antigua en esquina en venta cerca de la ermita merida centro,easybroker,merida centro,,,2024-02-21 13:04:12.121546,,,1850000.0,89.78,"Casa en Mérida Centro, Mérida",,2.0,
,casa en chicxulub puerto,easybroker,,,,2024-02-21 13:04:12.121546,20.9673702,-89.5925857,15900000.0,410.0,"Casa en Chicxulub Puerto, Mérida",5.0,5.0,lazaro cardenas
,casa con recamara en planta baja y paneles solares en real montejo.,easybroker,real montejo,,,2024-02-21 13:04:12.121546,21.0382682,-89.6686901,2000000.0,161.0,"Casa en Real Montejo, Mérida",2.0,3.0,dzitya
,casa en venta  3 recamaras paneles solares y alberca. merida,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4650000.0,234.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,casa en venta o renta privada parque central al norte de merida yuc.,easybroker,parque central,,,2024-02-21 13:04:12.121546,21.0331587,-89.5404648,5850000.0,274.92,"Casa en Parque Central, Mérida",5.0,4.0,sitpach
,casa en venta merida para inversion,easybroker,,,,2024-02-21 13:04:12.121546,20.9695203,-89.579234,2200000.0,174.0,"Casa en Pacabtun, Mérida",2.0,4.0,pacabtun
,casa en venta en juan b sosa merida.,easybroker,juan b sosa,,,2024-02-21 13:04:12.121546,21.0240348,-89.6316376,5600000.0,270.0,"Casa en Juan B Sosa, Mérida",4.0,4.0,juan b sosa
,casa en  venta  en privada en solasta,easybroker,,,,2024-02-21 13:04:12.121546,21.0634817,-89.6110378,11800000.0,433.0,"Casa en Temozon Norte, Mérida",4.0,3.0,temozon norte
,casa de una planta 3 recamaras en privada al norte de merida diseno unico,easybroker,,,,2024-02-21 13:04:12.121546,21.0627155306,-89.5552251626,8000000.0,376.21,"Casa en Tixcuytún, Mérida",3.0,3.0,
,casa amueblada en venta real montejo,easybroker,real montejo,,,2024-02-21 13:04:12.121546,21.0382682,-89.6686901,3200000.0,160.0,"Casa en Real Montejo, Mérida",3.0,3.0,dzitya
,villa en venta montecristo merida,easybroker,montecristo,,,2024-02-21 13:04:12.121546,21.015357,-89.5987182,5250000.0,172.0,"Casa en Fraccionamiento Montecristo, Mérida",3.0,3.0,montecristo
,moderna casa de lujo en privada kutz yucatan country club,easybroker,yucatan country club,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,17900000.0,465.61,"Casa en Yucatán Country Club, Mérida",4.0,4.0,
,casa una planta la rejoyada merida 3 recamarasalberca y jardin super grande,easybroker,la rejoyada,,,2024-02-21 13:04:12.121546,21.121757,-89.6851467,7490000.0,380.0,"Casa en La Rejoyada, Mérida",3.0,3.0,
,casa en venta en temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,4190650.0,210.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,casa en merida venta porto novo,easybroker,,,,2024-02-21 13:04:12.121546,21.0451333906,-89.5949221096,7395000.0,340.0,"Casa en Santa Gertrudis Copo, Mérida",3.0,4.0,
,venta de casa en cholul.,easybroker,cholul,,,2024-02-21 13:04:12.121546,,,3575000.0,227.0,"Casa en Cholul, Mérida",3.0,3.0,
,casa en preventa en dzitya merida,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0535785,-89.6578637,2950000.0,175.0,"Casa en Dzityá, Mérida",2.0,2.0,dzitya
,villa en venta montecristo merida,easybroker,montecristo,,,2024-02-21 13:04:12.121546,21.015357,-89.5987182,5490000.0,180.0,"Casa en Fraccionamiento Montecristo, Mérida",3.0,3.0,montecristo
,se vende casa para remodelar en itzimna excelente ubicacion,easybroker,itzimna,,,2024-02-21 13:04:12.121546,20.9935765232,-89.6105539799,7000000.0,345.0,"Casa en Itzimna, Mérida",4.0,3.0,itzimna
,en venta casa en col. garcia gineres en esquina para remodelar,easybroker,garcia gineres,,,2024-02-21 13:04:12.121546,20.9913728412,-89.6289539337,7300000.0,445.0,"Casa en Garcia Gineres, Mérida",2.0,3.0,garcia gineres
,en venta casa en el centro de merida  por  la plancha de ferrocarril,easybroker,,,,2024-02-21 13:04:12.121546,20.9692128,-89.6066221,2600000.0,211.0,"Casa en Waspa, Mérida",3.0,3.0,waspa
,casa en venta en dzitya yucatan.,easybroker,yucatan,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,6200000.0,257.0,"Casa en Dzityá, Mérida",5.0,4.0,dzitya
,casa en venta viladiu  cholul  entrega ago 24,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,4250000.0,220.39,"Casa en Cholul, Mérida",3.0,3.0,cholul
,townhouse en venta en col. aleman,easybroker,,,,2024-02-21 13:04:12.121546,20.9904342,-89.6004394,2890000.0,134.24,"Casa en Miguel Alemán, Mérida",2.0,2.0,aleman
,venta de casa en leandro valle merida,easybroker,leandro valle,,,2024-02-21 13:04:12.121546,20.996315,-89.5674483,2950000.0,146.0,"Casa en Leandro Valle, Mérida",2.0,3.0,leandro valle
,casa en venta viladiu  cholul  entrega mayo 24,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,3800000.0,220.39,"Casa en Cholul, Mérida",3.0,3.0,cholul
