desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia
,bonita casa en venta merida centro san benito avc2303,easybroker,merida centro,,,2024-02-21 13:04:12.121546,20.9590370142,-89.6228580975,1290000.0,90.0,"Casa en Mérida Centro, Mérida",,2.0,centro
,casa en privada en temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.0693185047,-89.6105849577,7200000.0,285.0,"Casa en Temozon Norte, Mérida",3.0,4.0,temozon norte
,casa en venta de una planta en dzitya,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0520223125,-89.6568917996,5800000.0,300.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,preventa casa 2 plantas 3 recamaras piscina zona residencial cholul norte merida,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0464951795,-89.5524357494,4359600.0,307.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,preventa casa 1 planta 3 recamaras piscina zona residencial cholul norte merida,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0468556509,-89.552564499,4529600.0,296.85,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en venta tanlum merida,easybroker,tanlum,,,2024-02-21 13:04:12.121546,,,2500000.0,200.0,"Casa en Tanlum, Mérida",2.0,3.0,
,residencias en venta en privada entre parques,easybroker,,,,2024-02-21 13:04:12.121546,21.0661111,-89.5700001,6950000.0,294.0,"Casa en Tixcuytún, Mérida",4.0,3.0,
,linda casa sola planta cerca centenario avc2302,easybroker,,,,2024-02-21 13:04:12.121546,20.9636847586,-89.642819031,2500000.0,184.65,"Casa en Mérida Centro, Mérida",3.0,4.0,centro
,casa en venta en privada barlovento en temozon norte merida.,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,6500000.0,265.0,"Casa en Temozon Norte, Mérida",4.0,4.0,x canatun
,horizontes dzitya b,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,5300000.0,319.71,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casa en venta en dzitya,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,4190000.0,285.0,"Casa en Dzityá, Mérida",4.0,3.0,dzitya
,casa en privada  oasis en el country club,easybroker,,,,2024-02-21 13:04:12.121546,21.1205215,-89.6001108,12472000.0,324.98,"Casa en Yucatán Country Club, Mérida",5.0,3.0,
,casa terracota en preventa ubicada en cholul zona norte de merida.,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0544503812,-89.5627463104,4480000.0,224.0,"Casa en Cholul, Mérida",3.0,3.0,cholul
,casa en venta en xcanatun merida.,easybroker,xcanatun,,,2024-02-21 13:04:12.121546,21.0821475,-89.6364822,13890000.0,768.7,"Casa en Residencial Xcanatún, Mérida",5.0,3.0,las americas ii
,venta casa vista alegre 1 planta 2 rec. zona norte en meridayucatan,easybroker,vista alegre,,,2024-02-21 13:04:12.121546,21.010506,-89.5810016,2800000.0,190.0,"Casa en Jardines de Vista Alegre, Mérida",2.0,2.0,del arco
,townhouse equipado de 3 recamaras con piscina.,easybroker,,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,2900000.0,180.0,"Casa en Dzityá, Mérida",2.0,3.0,dzitya
